key,en
WELCOME,Welcome fdishinyr user!
WELCOME_PARAGRAPH,This is an example of shiny multi-lingual module provided by the fdishinyr library
GENERIC_CHART_DOWNLOAD_PNG,Download PNG
GENERIC_CHART_DOWNLOAD_HTML,Download HTML
GENERIC_CHART_TAB_TITLE_PLOT,Plot
GENERIC_CHART_TAB_TITLE_STATISTICS,Statistics
GENERIC_CHART_PLOT_STYLE_LABEL_LINE,Line
GENERIC_CHART_PLOT_STYLE_LABEL_LINE_TOTAL,Line (total)
GENERIC_CHART_PLOT_STYLE_LABEL_LINE_MEAN,Line (mean)
GENERIC_CHART_PLOT_STYLE_LABEL_AREA,Stacked area
GENERIC_CHART_PLOT_STYLE_LABEL_AREA_PERCENT,Stacked area (%)
GENERIC_CHART_PLOT_STYLE_LABEL_BAR_MEAN,Bar (mean)
GENERIC_CHART_PLOT_STYLE_LABEL_BAR,Stacked bars
GENERIC_CHART_PLOT_STYLE_LABEL_BAR_PERCENT,Stacked bars (%)
GENERIC_CHART_PLOT_STYLE_LABEL_RANK,Rank (total)
GENERIC_CHART_PLOT_STYLE_LABEL_HEATMAP,Heatmap
GENERIC_CHART_PLOT_STYLE_LABEL_BUBBLE,Bubble
GENERIC_CHART_PLOT_STYLE_LABEL_PIE,Pie
GENERIC_CHART_PLOT_STYLE_LABEL_DONUT,Donut
GENERIC_CHART_PLOT_STYLE_LABEL_TREEMAP,Treemap
GENERIC_CHART_PLOT_STYLE_LABEL_BOXPLOT,Boxplot
GENERIC_CHART_MESSAGE_STAT,The 'stat' argument must be either 'sum' or 'mean'.
GENERIC_CHART_PLOT_GRANU_LABEL_MONTH,Month
GENERIC_CHART_PLOT_GRANU_LABEL_YEAR,Year
GENERIC_CHART_PLOT_ERROR_LABEL_NONE,None
GENERIC_CHART_PLOT_ERROR_LABEL_SD,Standard deviation (SD)
GENERIC_CHART_PLOT_ERROR_LABEL_SE,Standard error (SE)
GENERIC_CHART_PLOT_ERROR_LABEL_CI95,Confidence interval (CI95%)
GENERIC_CHART_PLOT_STYLE_TITLE,Plot type
GENERIC_CHART_PLOT_GRANU_TITLE,Granularity
GENERIC_CHART_PLOT_ERROR_TITLE,Error bars
GENERIC_CHART_PLOT_BUBBLE_NO_DATA,No data
GENERIC_CHART_PLOT_RANK_TITLE,Ranking