key,fr
WELCOME,Bienvenu utilisateur de fdishinyr!
WELCOME_PARAGRAPH,Ceci est un exemple de module Shiny multi-langue fourni par la librairie fdishinyr
GENERIC_CHART_DOWNLOAD_PNG,Télécharger en PNG
GENERIC_CHART_DOWNLOAD_HTML,Télécharger en HTML
GENERIC_CHART_TAB_TITLE_PLOT,Graphique
GENERIC_CHART_TAB_TITLE_STATISTICS,Statistiques
GENERIC_CHART_NO_DATA,pas de données disponible
GENERIC_CHART_PLOT_STYLE_LABEL_LINE,Ligne
GENERIC_CHART_PLOT_STYLE_LABEL_LINE_TOTAL,Ligne (total)
GENERIC_CHART_PLOT_STYLE_LABEL_LINE_MEAN,Ligne (moyenne)
GENERIC_CHART_PLOT_STYLE_LABEL_AREA,Aires empilées
GENERIC_CHART_PLOT_STYLE_LABEL_AREA_PERCENT,Aires empilées (%)
GENERIC_CHART_PLOT_STYLE_LABEL_BAR_MEAN,Barres (moyenne)
GENERIC_CHART_PLOT_STYLE_LABEL_BAR,Barres empilées
GENERIC_CHART_PLOT_STYLE_LABEL_BAR_PERCENT,Barres empilées (%)
GENERIC_CHART_PLOT_STYLE_LABEL_RANK,Classement (total)
GENERIC_CHART_PLOT_STYLE_LABEL_HEATMAP,Heatmap (Carte de chaleur)
GENERIC_CHART_PLOT_STYLE_LABEL_BUBBLE,Bubble chart (graphique à bulles)
GENERIC_CHART_PLOT_STYLE_LABEL_PIE,Diagramme circulaire
GENERIC_CHART_PLOT_STYLE_LABEL_DONUT,Donut chart (graphique en anneau)
GENERIC_CHART_PLOT_STYLE_LABEL_TREEMAP,Treemap (graphique de compartimentage)
GENERIC_CHART_PLOT_STYLE_LABEL_BOXPLOT,Boxplot (Boîte à moustaches)
GENERIC_CHART_MESSAGE_STAT,L’argument « stat » doit être « sum » ou « mean ».
GENERIC_CHART_PLOT_GRANU_LABEL_MONTH,Mois
GENERIC_CHART_PLOT_GRANU_LABEL_YEAR,Année
GENERIC_CHART_PLOT_ERROR_LABEL_NONE,Aucune
GENERIC_CHART_PLOT_ERROR_LABEL_SD,Écart-type (SD)
GENERIC_CHART_PLOT_ERROR_LABEL_SE,Erreur standard (SE)
GENERIC_CHART_PLOT_ERROR_LABEL_CI95,Intervalle de confiance 95 % (CI95%)
GENERIC_CHART_PLOT_STYLE_TITLE,Type de graphique
GENERIC_CHART_PLOT_GRANU_TITLE,Granularité temporelle
GENERIC_CHART_PLOT_ERROR_TITLE,Barres d’erreur
GENERIC_CHART_PLOT_BUBBLE_NO_DATA,Aucune donnée
GENERIC_CHART_PLOT_RANK_TITLE,Classement